ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
20,OAXACA,406,SANTA MARIA COLOTEPEC,10,34,291,1013,88,163,187,58,3749,151,83,53,11,11,3,1,0,0,0,0,,,,1,154,6017,19489
20,OAXACA,407,SANTA MARIA CORTIJO,1,2,14,50,215,14,68,33,88,6,21,108,13,0,1,2,0,0,0,0,,,,30,91,754,953
20,OAXACA,408,SANTA MARIA COYOTEPEC,1,4,42,193,11,103,23,52,493,23,9,24,4,2,0,1,3,0,4,7,,,,0,42,1036,2400
20,OAXACA,409,SANTA MARIA DEL ROSARIO,1,1,8,31,3,3,9,1,86,5,0,1,0,0,0,0,0,0,0,0,,,,0,4,151,364
20,OAXACA,410,SANTA MARIA DEL TULE,5,13,208,701,29,37,173,62,1670,74,22,97,19,9,0,1,9,1,5,24,,,,3,107,3251,6981
20,OAXACA,411,SANTA MARIA ECATEPEC,4,7,22,146,16,12,18,12,847,26,13,3,2,0,0,1,1,0,0,3,,,,0,33,1155,2375
20,OAXACA,412,SANTA MARIA GUELACE,1,1,8,69,4,3,38,6,131,1,4,4,2,0,0,0,0,0,1,1,,,,0,12,284,642
20,OAXACA,413,SANTA MARIA GUIENAGATI,2,5,7,220,12,3,12,8,645,23,17,2,2,4,0,1,1,0,0,4,,,,0,23,984,2274
20,OAXACA,414,SANTA MARIA HUATULCO,14,58,851,2163,1989,279,654,397,11161,249,325,1611,92,16,14,35,0,0,0,0,,,,4,731,20571,36418
20,OAXACA,415,SANTA MARIA HUAZOLOTITLAN,5,16,36,1448,794,783,553,29,1562,36,47,372,6,1,5,2,1,5,6,7,,,,0,175,5868,8439
20,OAXACA,416,SANTA MARIA IPALAPA,3,8,30,134,795,667,19,19,819,10,34,17,22,0,3,10,0,0,5,0,,,,0,144,2728,3755
20,OAXACA,417,SANTA MARIA IXCATLAN,1,1,4,70,5,1,8,3,120,1,2,0,1,1,0,0,0,0,0,0,,,,0,6,222,368
